,x,y,category,consensus,depth
0,208.0,430.0,pole,3,16.404308319091797
1,462.5,322.0,pole,3,48.838470458984375
2,419.0,348.0,pole,3,33.63117599487305
3,13.0,524.0,pole,2,10.287068367004395
4,97.0,493.0,pole,2,11.638779640197754
5,489.5234217391224,325.11073835725944,pole,2,48.10784912109375
6,910.6434149234112,397.4122656607225,pole,1,18.119482040405273
7,858.8746329678105,313.51289907761947,pole,1,47.563629150390625
8,493.5610613113686,325.595255105929,pole,1,48.10784912109375
9,906.0,373.0,pole,1,18.603519439697266
