,x,y,category,consensus,depth
0,286.0,475.0,pole,2,18.37946128845215
1,57.0,554.0,pole,2,10.925406455993652
2,198.0,504.0,pole,2,14.802510261535645
3,248.5,481.0,pole,2,18.28563690185547
4,138.5,526.0,pole,2,12.80968189239502
5,319.5,458.0,pole,2,20.9410400390625
6,773.5212989159428,433.0416892908856,pole,2,29.416000366210938
7,766.0791216563787,433.73939340896976,pole,2,29.66008758544922
8,611.0501593930657,385.41534179574177,pole,2,69.31507873535156
9,796.0803987339965,433.274257330247,pole,1,29.002765655517578
10,421.6365526406036,431.3485939643347,pole,1,29.713638305664062
11,410.2500214334706,433.357981824417,pole,1,29.516443252563477
