,x,y,category,consensus,depth
0,845.0,458.0,pole,3,23.084096908569336
1,297.5,451.0,pole,3,27.93385887145996
2,812.1275934499315,461.8243098422497,pole,3,23.337600708007812
3,685.5,394.0,pole,2,54.47669219970703
4,362.5,457.0,pole,2,27.109560012817383
5,349.5,462.0,pole,2,26.93815040588379
6,759.5486111111112,447.7585948216736,pole,2,24.842374801635742
7,766.9163665980797,454.1216563786009,pole,2,23.607879638671875
8,417.5,422.0,pole,1,42.139549255371094
9,271.1743338953666,432.8091212515242,pole,1,32.57142639160156
10,423.30613275428567,406.3480465508519,pole,1,42.888099670410156
