,x,y,category,consensus,depth
0,1171.5,719.0,pole,3,5.351250171661377
1,467.6943271557309,401.1798678983768,pole,3,45.49675750732422
2,322.0,460.0,pole,2,22.522201538085938
3,794.0,470.0,pole,2,18.263776779174805
4,812.5,483.0,pole,2,17.048311233520508
5,377.5,440.0,pole,2,26.879005432128906
6,769.0,447.0,pole,2,21.83458137512207
7,361.5,446.0,pole,2,26.234378814697266
8,300.5,468.0,pole,2,20.98068618774414
9,834.0,500.0,pole,2,15.211584091186523
10,273.0,477.0,pole,2,19.380306243896484
11,401.5,432.0,pole,2,29.327136993408203
12,241.0,490.0,pole,2,17.293378829956055
13,864.0,522.0,pole,2,13.174155235290527
14,203.5,502.0,pole,2,16.0784969329834
15,345.5,453.0,pole,2,24.189056396484375
16,160.0,520.0,pole,2,13.929524421691895
17,906.0,553.0,pole,2,11.366438865661621
18,958.0,591.0,pole,2,9.224874496459961
19,757.5,439.0,pole,2,24.237985610961914
20,104.0,542.0,pole,2,12.094575881958008
21,37.0,567.0,pole,2,10.667101860046387
22,1037.5,656.0,pole,2,7.155483245849609
23,389.0,438.0,pole,2,29.164091110229492
24,781.0,458.0,pole,2,20.620132446289062
25,428.8554645823808,426.99492026748976,pole,2,32.646400451660156
26,448.8563159674593,419.0876069292029,pole,2,37.182159423828125
27,750.8412637174212,425.99022633744863,pole,2,27.620834350585938
28,437.9256181174745,423.9715357557919,pole,2,33.13941955566406
29,747.1573859739369,433.357981824417,pole,1,26.2353458404541
