,x,y,category,consensus,depth
0,885.1610446885566,444.577126204478,pole,3,26.200477600097656
1,255.12835047130324,446.4115252064643,pole,3,31.95142364501953
2,214.0,460.0,pole,3,27.29725456237793
3,1159.0,555.0,pole,2,11.10820198059082
4,3.0,575.0,pole,2,10.742732048034668
5,1190.0,587.0,pole,2,8.775337219238281
6,893.7179183751269,446.0983481932016,pole,2,25.96533203125
7,859.6805763774358,445.9081954446112,pole,2,27.55962562561035
8,848.6517169591897,441.9149877242117,pole,2,30.43950080871582
9,261.6895147762032,455.7485667172836,pole,2,30.738056182861328
10,244.2771941208917,458.7767963964681,pole,2,27.904659271240234
