,x,y,category,consensus,depth
0,543.7440760269014,421.87842340153946,pole,3,30.662826538085938
1,270.5,450.0,pole,3,23.817781448364258
2,524.0,426.0,pole,3,31.060853958129883
3,660.0280957075904,378.3882000409618,pole,1,91.50706481933594
4,645.3763092278236,379.0859041590459,pole,1,80.39737701416016
5,633.282771181032,379.7836082771301,pole,1,80.55349731445312
6,578.6292819311082,387.6909216154169,pole,1,62.4979248046875
7,621.5,379.0,pole,1,68.93450927734375
8,2.5,511.0,pole,1,13.275310516357422
9,18.5,515.0,pole,1,12.875306129455566
