,x,y,category,consensus,depth
0,386.8058710211805,428.9588281554303,pole,3,35.22830581665039
1,409.73966379153865,421.04505459382784,pole,3,50.03759765625
2,198.0,510.0,pole,3,16.199811935424805
3,843.5,430.0,pole,3,28.57518768310547
4,817.0,430.0,pole,2,30.013486862182617
5,771.0276527161235,409.73966379153865,pole,2,50.596412658691406
6,791.3773561602441,409.2551470428691,pole,2,48.80509567260742
7,424.5981774174044,440.748735706389,pole,2,29.482208251953125
8,823.5169671553234,429.44334490409983,pole,2,29.180313110351562
9,785.5631551762096,408.7706302941996,pole,1,49.10004425048828
10,775.7113146199291,411.3547196204371,pole,1,49.8719596862793
11,429.6048504869897,420.39903226226846,pole,1,34.177513122558594
