,x,y,category,consensus,depth
0,438.5,422.0,pole,3,37.00059127807617
1,62.0,496.0,pole,3,14.584261894226074
2,473.5,424.0,pole,2,31.62590789794922
3,954.5,470.0,pole,2,17.137920379638672
4,187.0,570.0,pole,2,10.094252586364746
5,983.0,459.0,pole,2,19.33730125427246
6,225.0,476.0,pole,2,19.215177536010742
7,898.5,480.0,pole,2,15.988512992858887
8,862.0,510.0,pole,2,13.05864429473877
9,249.0,488.0,pole,2,18.523754119873047
10,401.0,428.0,pole,2,33.40754699707031
11,283.5,524.0,pole,2,13.111494064331055
12,105.5,467.0,pole,2,20.86590576171875
13,867.7206575788753,481.5832904663924,pole,1,16.111356735229492
14,276.33101851851853,495.2739197530864,pole,1,17.186439514160156
15,286.9889605719403,430.7160088972718,pole,1,31.88555335998535
16,291.4077533198065,423.9715357557919,pole,1,31.97129249572754
17,977.04475308642,415.21990740740745,pole,1,29.804716110229492
18,987.6543209876544,402.6813271604939,pole,1,30.767532348632812
19,1162.5,550.0,pole,1,10.064228057861328
