,x,y,category,consensus,depth
0,1141.0,434.0,pole,3,31.219894409179688
1,905.5,430.0,pole,3,39.99977493286133
2,61.0,680.0,pole,3,6.180643558502197
3,1224.7219007201647,423.31104252400553,pole,3,29.67788314819336
4,942.5982635316644,415.1339502600595,pole,3,48.74546813964844
5,893.0612711476911,426.5297841887671,pole,3,42.15724182128906
6,866.7810826998553,408.8546131973023,pole,2,51.226539611816406
7,1127.0247187452371,422.808695558985,pole,1,32.518821716308594
8,1263.660851368847,422.7780151060687,pole,1,28.708829879760742
9,1251.8297729791943,421.85258250827707,pole,1,29.07859230041504
