,x,y,category,consensus,depth
0,734.3658854001286,413.6157977808949,pole,3,39.2040901184082
1,937.0,529.0,pole,3,12.638402938842773
2,290.5,431.0,pole,2,37.67087173461914
3,1029.5,440.0,pole,2,26.572351455688477
4,792.0,470.0,pole,2,19.44424057006836
5,871.5,457.0,pole,2,23.982004165649414
6,242.0,487.0,pole,2,19.869844436645508
7,269.0,469.0,pole,2,23.324811935424805
8,901.5,452.0,pole,2,25.36487579345703
9,981.0,444.0,pole,2,27.398441314697266
10,816.5,468.0,pole,2,19.46988296508789
11,833.989875187474,427.59724636634513,pole,2,36.27949142456055
12,653.6130939552057,418.6224708504801,pole,2,44.82000732421875
13,255.86205418381348,478.23431069958855,pole,2,21.412824630737305
14,247.48960476680384,464.1685956790124,pole,2,23.085119247436523
15,469.9967456360499,396.1262058636309,pole,2,93.58106994628906
16,679.1309760518013,409.9011693744285,pole,2,42.9704475402832
17,875.9675202546298,426.4716421789267,pole,1,36.0337028503418
18,258.6156597698522,432.8091212515242,pole,1,34.69858932495117
