,x,y,category
0,520.9524081694865,427.4600563462125,pole
1,517.6964556184272,426.29721614940564,pole
2,494.6722197216507,427.22748830685117,pole
3,711.8055555555557,411.3618827160494,pole
4,721.4506172839507,400.75231481481484,pole
5,739.7762345679013,408.95061728395063,pole
6,757.1373456790124,402.6813271604939,pole
7,764.3711419753087,396.41203703703707,pole
8,793.7885802469136,393.0362654320988,pole
9,807.2916666666667,400.75231481481484,pole
10,854.5524691358025,382.4266975308642,pole
11,883.005401234568,392.55401234567904,pole
12,896.0262345679013,394.0007716049383,pole
13,908.0825617283951,394.483024691358,pole
14,943.2870370370371,396.41203703703707,pole
15,955.8256172839507,396.41203703703707,pole
16,1164.0,527.0,pole
17,1247.0,462.0,pole
18,1229.0,554.0,pole
