,x,y,category
0,447.3678805155464,419.7387974394147,pole
1,438.7163494513032,420.0178790866484,pole
2,429.5066550925926,425.59951203132147,pole
3,748.7760595278921,425.59951203132147,pole
4,1171.5,719.0,pole
5,1037.5,656.0,pole
6,37.0,567.0,pole
7,104.0,542.0,pole
8,958.0,591.0,pole
9,906.0,553.0,pole
10,160.0,520.0,pole
11,203.5,502.0,pole
12,864.0,522.0,pole
13,241.0,490.0,pole
14,273.0,477.0,pole
15,834.0,500.0,pole
16,300.5,468.0,pole
17,361.5,446.0,pole
18,377.5,440.0,pole
19,322.0,460.0,pole
20,812.5,483.0,pole
21,794.0,470.0,pole
22,781.0,458.0,pole
23,389.0,438.0,pole
24,769.0,447.0,pole
25,401.5,432.0,pole
26,345.5,453.0,pole
27,757.5,439.0,pole
28,469.0,402.0,pole
