,x,y,category
0,759.5486111111111,531.6840277777778,pole
1,687.2106481481482,423.41820987654324,pole
2,680.9413580246915,427.27623456790127,pole
3,673.7075617283951,431.1342592592593,pole
4,732.0601851851852,434.5100308641976,pole
5,300.4436728395062,427.27623456790127,pole
6,282.1180555555556,433.545524691358,pole
7,230.99922839506175,440.2970679012346,pole
8,203.99305555555557,443.1905864197531,pole
9,97.0,462.0,pole
10,345.5,425.0,pole
11,257.5,438.0,pole
12,173.0,450.0,pole
13,139.0,457.0,pole
