,x,y,category
0,699.2669753086419,414.33577674897117,pole
1,561.8248456790124,402.6813271604938,pole
2,659.4810956790124,385.400591563786,pole
3,601.6107253086419,382.9893261316872,pole
4,565.4417438271605,430.8127572016461,pole
5,513.5995370370371,417.9526748971193,pole
6,479.0380658436214,432.42026748971193,pole
7,425.5883487654321,456.93479938271605,pole
8,377.3630401234568,455.3272890946502,pole
9,1099.9389146090534,412.72826646090533,pole
10,1111.593364197531,407.50385802469134,pole
11,1136.911651234568,407.1019804526749,pole
12,1191.5670010288065,398.2606738683128,pole
