,x,y,category
0,22.0939637393309,482.5786816748591,pole
1,105.1207537913428,480.2530012812453,pole
2,187.2172716859092,477.4621848089088,pole
3,259.3133638879363,473.7410961791267,pole
4,320.10664937700045,470.5316572359397,pole
5,371.17859082075904,466.0663508802012,pole
6,395.73777577732056,461.60104452446274,pole
7,1204.293124142661,470.1967592592593,pole
8,847.2582878401307,465.4590898885354,pole
9,899.5860966964408,467.3971568832136,pole
10,967.9029582588456,469.65823504367137,pole
11,747.0446615393181,408.9563716196445,pole
12,757.2160554806555,412.05201325396456,pole
13,698.3988644285737,402.7650883510043,pole
