,x,y,category
0,546.875,494.7916666666667,pole
1,570.5054012345679,540.1234567901234,pole
2,347.7357324531322,422.25053226451763,pole
3,593.0,719.0,pole
4,584.5,575.0,pole
5,748.5,719.0,pole
6,717.0,642.0,pole
7,1186.0,466.0,pole
8,1210.5,474.0,pole
9,556.0,516.0,pole
10,889.0,436.0,pole
11,874.5,443.0,pole
12,862.0,442.0,pole
13,677.0,420.0,pole
14,537.0,405.0,pole
15,513.0,402.0,pole
16,494.0,400.0,pole
17,461.0,442.0,pole
18,485.0,400.0,pole
19,409.0,434.0,pole
20,393.5,402.0,pole
