,x,y,category
0,869.6184127800641,443.18165580704164,pole
1,863.7576981881573,436.7627779206676,pole
2,858.1760652434842,432.5765532121628,pole
3,853.4316772405122,428.1112468564243,pole
4,848.4082075903063,425.8785936785551,pole
5,619.896154835391,433.0230838477367,pole
6,611.8586033950618,440.3908393347051,pole
7,40.27777777777778,450.6944444444444,pole
8,1128.0,400.0,pole
9,1254.5,645.0,pole
10,1112.5,634.0,pole
11,1035.5,571.0,pole
12,1000.5,543.0,pole
13,201.0,463.0,pole
14,88.0,463.0,pole
15,321.5,462.0,pole
16,957.0,512.0,pole
17,977.0,525.0,pole
18,878.0,449.0,pole
19,409.0,465.0,pole
20,894.0,462.0,pole
21,886.0,454.0,pole
22,606.0,444.0,pole
23,940.5,499.0,pole
24,926.5,488.0,pole
25,913.5,478.0,pole
26,589.5,450.0,pole
27,486.0,461.0,pole
28,550.0,455.0,pole
29,1070.5,600.0,pole
