,x,y,category
0,846.3541666666667,448.4953703703704,pole
1,1163.6766975308642,414.25540123456796,pole
2,9.5,719.0,pole
3,1255.0,719.0,pole
4,41.5,663.0,pole
5,181.5,496.0,pole
6,289.5,499.0,pole
7,1150.5,666.0,pole
8,1094.5,622.0,pole
9,1047.5,591.0,pole
10,874.0,470.0,pole
11,980.5,543.0,pole
12,1011.5,563.0,pole
13,865.0,462.0,pole
14,916.0,499.0,pole
15,525.5,479.0,pole
16,955.0,526.0,pole
17,853.0,456.0,pole
18,393.0,496.0,pole
19,565.5,456.0,pole
20,546.0,471.0,pole
21,900.5,488.0,pole
22,838.0,444.0,pole
23,553.5,463.0,pole
24,886.0,479.0,pole
25,449.5,418.0,pole
26,473.5,488.0,pole
27,1134.0,460.0,pole
