,x,y,category
0,571.9235701295217,385.287718542016,pole
1,534.9064905311691,384.9001051430804,pole
2,518.4249624261346,402.9862056105985,pole
3,512.827931792654,394.2408452457852,pole
4,497.08628313599,397.0393605625254,pole
5,483.4435209668812,401.5869479522284,pole
6,476.097418260438,404.73527768356115,pole
7,459.3063263599964,409.28286507326413,pole
8,449.861337165998,402.9862056105985,pole
9,432.02080202177876,409.98249390244916,pole
10,274.60431545513876,428.872472290446,pole
11,268.65747040706566,425.37432814452063,pole
12,252.91582175040168,424.6746993153356,pole
13,739.01222329694,477.8771620612721,pole
14,766.8666298287445,489.1930147148177,pole
15,800.8141877893813,504.8611183889578,pole
16,848.6889490159205,526.6223734919301,pole
17,903.5273118754106,550.1245290031402,pole
18,985.3496310625866,579.7198359431826,pole
19,1095.026356781567,619.7605453326516,pole
