,x,y,category
0,750.038501540181,439.0246659456368,pole
1,726.0774188862217,424.669239873876,pole
2,674.6798821873572,374.4345433718184,pole
3,897.94519997428,474.2062322578495,pole
4,758.8229988283036,444.5770640432099,pole
5,771.9398362482854,453.2285951074532,pole
6,549.567608444614,399.72631765236827,pole
7,544.7448722888756,402.41807736719903,pole
8,684.9884481298981,397.10414100967233,pole
9,679.1582078866892,386.0914649947222,pole
10,694.0577107304453,395.6789711724435,pole
11,705.0703867453954,395.9380929610305,pole
