,x,y,category
0,399.9954936238513,392.5931544080667,pole
1,955.0,482.0,pole
2,255.5271562071331,466.1779835390947,pole
3,50.06673069585218,509.87312518324296,pole
4,122.09822066472336,508.4195749372344,pole
5,163.1206387187442,496.4681618033858,pole
6,229.1764221206911,474.0188857816973,pole
7,279.10526092289604,458.58337656983855,pole
8,300.24959887160026,452.48883210227086,pole
9,327.06455367687204,404.5272111266575,pole
10,792.4979264470646,470.2406645743955,pole
11,779.75103846199,460.282158336056,pole
12,765.2116193540143,414.6721997644606,pole
13,713.2649474661931,367.62457052624,pole
