,x,y,category,consensus
0,130.0,439.0,pole,3
1,250.0,502.0,pole,2
2,369.5,453.0,pole,2
3,986.0,526.0,pole,2
4,166.0,536.0,pole,2
5,282.5,487.0,pole,2
6,921.0,492.0,pole,2
7,386.0,443.0,pole,2
8,897.0,481.0,pole,2
9,333.5,467.0,pole,2
10,875.5,471.0,pole,2
11,842.0,454.0,pole,2
12,433.5,426.0,pole,2
13,309.5,478.0,pole,2
14,213.0,516.0,pole,2
15,815.5,441.0,pole,2
16,951.0,508.0,pole,2
17,1032.5,548.0,pole,2
18,353.5,459.0,pole,2
19,857.5,462.0,pole,2
20,829.5,446.0,pole,2
21,765.2418767146777,416.61308299039786,pole,2
22,772.2747342249658,419.2922668038409,pole,2
23,787.0102451989027,427.32981824417016,pole,2
24,796.0524905692731,431.3485939643347,pole,2
25,399.3828378970904,440.2148700296144,pole,2
26,805.7645318930042,435.70226766117975,pole,2
27,779.6424897119342,423.31104252400553,pole,2
28,450.729556415672,419.7112315768019,pole,2
29,441.9673177606239,423.04088226572014,pole,2
30,458.4403264321143,417.2578047533884,pole,2
31,756.8694272976682,413.264103223594,pole,2
32,423.2161270388211,431.4526313745663,pole,2
33,413.7529092913692,436.7099745675951,pole,2
34,735.1010588134432,388.816550925926,pole,2
35,1261.0,580.0,pole,2
