,x,y,category,consensus
0,496.5,402.0,pole,3
1,830.5,478.0,pole,2
2,418.0,441.0,pole,2
3,959.0,564.0,pole,2
4,789.5,447.0,pole,2
5,269.5,492.0,pole,2
6,132.5,546.0,pole,2
7,441.0,432.0,pole,2
8,1020.0,612.0,pole,2
9,425.5,437.0,pole,2
10,801.5,455.0,pole,2
11,814.5,466.0,pole,2
12,481.0,419.0,pole,2
13,405.0,444.0,pole,2
14,781.0,441.0,pole,2
15,350.0,463.0,pole,2
16,58.5,574.0,pole,2
17,1115.5,680.0,pole,2
18,370.0,457.0,pole,2
19,914.0,534.0,pole,2
20,877.5,511.0,pole,2
21,462.0,425.0,pole,2
22,853.5,492.0,pole,2
23,187.0,526.0,pole,2
24,326.0,472.0,pole,2
25,389.5,451.0,pole,2
26,233.0,508.0,pole,2
27,472.7078484490781,424.2783202924472,pole,2
28,770.0327783255221,430.7160088972718,pole,2
29,301.0,470.0,pole,2
30,1269.5,719.0,pole,2
