,x,y,category,consensus
0,993.582345938331,352.8896986143129,pole,3
1,1064.8148148148148,394.483024691358,pole,3
2,950.0385802469136,452.83564814814815,pole,3
3,107.0,560.0,pole,3
4,429.5,418.0,pole,3
5,965.0,518.0,pole,3
6,265.0,523.0,pole,2
7,474.0,473.0,pole,2
8,510.5,463.0,pole,2
9,402.0,491.0,pole,2
10,638.7706207024776,437.68408906807406,pole,2
11,606.6823443778387,442.81821328001627,pole,2
12,441.0,483.0,pole,2
13,573.7383806845429,449.2358685449441,pole,2
14,544.2171664658752,454.7978364412148,pole,2
