,x,y,category,consensus
0,149.5,459.0,pole,3
1,178.0,521.0,pole,3
2,85.5,487.0,pole,3
3,780.0,415.0,pole,3
4,357.0,481.0,pole,2
5,329.5,475.0,pole,2
6,961.5,506.0,pole,2
7,201.5,462.0,pole,2
8,293.5,470.0,pole,2
9,373.0,490.0,pole,2
10,986.0,486.0,pole,2
11,485.5,443.0,pole,2
12,449.0,442.0,pole,2
13,241.0,443.0,pole,2
14,829.5,443.0,pole,2
15,516.5,442.0,pole,2
16,405.5,444.0,pole,2
17,250.0,466.0,pole,2
18,901.0,446.0,pole,2
19,861.5,445.0,pole,2
20,530.4716977279227,439.06797851614914,pole,2
