,x,y,category,consensus
0,461.0,442.0,pole,3
1,677.0,420.0,pole,3
2,889.0,436.0,pole,3
3,748.5,719.0,pole,3
4,593.0,719.0,pole,3
5,393.9702586781741,400.94729985901546,pole,3
6,717.0,642.0,pole,2
7,1186.0,466.0,pole,2
8,409.0,434.0,pole,2
9,584.5,575.0,pole,2
10,1210.5,474.0,pole,2
11,862.0,442.0,pole,2
12,556.0,516.0,pole,2
13,874.5,443.0,pole,2
14,536.413297663723,404.9797178380022,pole,2
15,483.97408991102736,400.4821637802927,pole,2
16,494.9047877610121,401.4124359377382,pole,2
17,348.1867283950618,424.38271604938274,pole,2
18,549.0,498.0,pole,2
19,570.0,544.0,pole,2
20,526.2819592188237,396.4912991409244,pole,2
21,792.0337148491085,412.9292052469136,pole,2
22,786.3404492455419,412.9292052469136,pole,2
