,x,y,category,consensus
0,1240.0,717.0,pole,2
1,261.5,549.0,pole,2
2,922.0,511.0,pole,2
3,378.5,538.0,pole,2
4,1090.5,623.0,pole,2
5,870.0,477.0,pole,2
6,884.0,486.0,pole,2
7,1003.0,565.0,pole,2
8,971.5,542.0,pole,2
9,454.0,523.0,pole,2
10,902.5,499.0,pole,2
11,857.5,469.0,pole,2
12,515.0,483.0,pole,2
13,500.0,495.0,pole,2
14,118.0,554.0,pole,2
15,944.0,525.0,pole,2
16,485.0,508.0,pole,2
17,1152.0,664.0,pole,2
18,1257.661638636357,490.57320802790633,pole,2
19,635.3758835352844,365.5969578760861,pole,2
20,388.4816529492456,430.678798010974,pole,2
