,x,y,category,consensus
0,42.0,460.0,pole,3
1,1129.0,402.0,pole,3
2,1070.5,600.0,pole,2
3,1112.5,634.0,pole,2
4,1035.5,571.0,pole,2
5,1000.5,543.0,pole,2
6,201.0,463.0,pole,2
7,88.0,463.0,pole,2
8,321.5,462.0,pole,2
9,957.0,512.0,pole,2
10,977.0,525.0,pole,2
11,878.0,449.0,pole,2
12,409.0,465.0,pole,2
13,894.0,462.0,pole,2
14,886.0,454.0,pole,2
15,606.0,444.0,pole,2
16,940.5,499.0,pole,2
17,926.5,488.0,pole,2
18,913.5,478.0,pole,2
19,589.5,450.0,pole,2
20,486.0,461.0,pole,2
21,550.0,455.0,pole,2
22,1254.5,645.0,pole,2
23,612.1190795991465,440.0187304717269,pole,2
24,869.1019179259825,444.1403529470759,pole,2
25,847.3435268977672,425.6345049076144,pole,2
26,620.956665094879,432.3439851728015,pole,2
27,857.8862524475211,434.2705673260297,pole,2
28,853.2878296013519,429.89645778942975,pole,2
29,863.4940851867518,438.86899017219895,pole,2
30,1081.6936728395062,437.4035493827161,pole,2
31,517.9398148148149,405.5748456790124,pole,2
