,x,y,category,consensus
0,701.1959977624412,452.8557485549099,pole,3
1,104.0,442.0,pole,3
2,285.5,427.0,pole,3
3,235.5,426.0,pole,3
4,458.0,414.0,pole,3
5,410.0,404.0,pole,3
6,498.5,412.0,pole,3
7,1180.5,380.0,pole,3
8,817.5,405.0,pole,2
9,486.0,418.0,pole,2
10,542.0,412.0,pole,2
11,325.5,426.0,pole,2
12,846.0,404.0,pole,2
13,673.0,443.0,pole,2
14,581.5,411.0,pole,2
15,528.5,416.0,pole,2
16,766.0,450.0,pole,2
17,261.5,438.0,pole,2
18,214.0,443.0,pole,2
19,630.0,445.0,pole,2
20,785.0,447.0,pole,2
21,477.5,411.0,pole,2
