,x,y,category,consensus
0,1161.2654320987656,441.7438271604939,pole,3
1,359.27854938271605,393.5185185185185,pole,3
2,894.0,476.0,pole,3
3,724.0,420.0,pole,3
4,282.0,403.0,pole,3
5,1236.4969135802469,452.83564814814815,pole,2
6,1169.945987654321,439.8148148148149,pole,2
7,1071.0841049382716,420.04243827160496,pole,2
8,1115.451388888889,429.68750000000006,pole,2
9,1089.4097222222224,423.900462962963,pole,2
10,1201.7746913580247,446.5663580246914,pole,2
11,1140.0462962962963,435.9567901234568,pole,2
