,x,y,category,consensus
0,1093.0,398.0,pole,3
1,475.5,468.0,pole,2
2,515.0,442.0,pole,2
3,922.0,482.0,pole,2
4,945.5,502.0,pole,2
5,574.0,439.0,pole,2
6,933.5,491.0,pole,2
7,955.5,514.0,pole,2
8,916.280864197531,473.0902777777778,pole,2
9,622.7009253900892,435.8906477730625,pole,2
10,675.5520123349623,421.23886129329566,pole,2
11,653.0510545267491,432.7509792416839,pole,2
12,662.4700601208849,431.1811449759946,pole,2
13,902.295524691358,461.51620370370375,pole,2
14,889.7569444444445,450.4243827160494,pole,2
15,670.3192314493314,424.90180791323735,pole,2
16,907.6003086419754,467.3032407407408,pole,2
17,898.4375000000001,454.28240740740745,pole,2
18,882.628010493007,442.5252971181773,pole,2
