,x,y,category,consensus
0,457.0,410.0,pole,3
1,886.0,521.0,pole,2
2,346.0,463.0,pole,2
3,366.0,454.0,pole,2
4,1069.5,647.0,pole,2
5,242.5,499.0,pole,2
6,795.5,457.0,pole,2
7,100.0,555.0,pole,2
8,413.0,438.0,pole,2
9,304.5,477.0,pole,2
10,28.0,583.0,pole,2
11,987.0,588.0,pole,2
12,277.5,488.0,pole,2
13,425.5,436.0,pole,2
14,401.0,443.0,pole,2
15,205.5,513.0,pole,2
16,926.5,550.0,pole,2
17,157.0,533.0,pole,2
18,831.5,482.0,pole,2
19,812.5,469.0,pole,2
20,329.0,470.0,pole,2
21,856.5,499.0,pole,2
22,1211.0,719.0,pole,2
