,x,y,category,consensus
0,541.5,355.0,pole,3
1,1198.5,719.0,pole,2
2,830.0,505.0,pole,2
3,745.5,435.0,pole,2
4,1087.5,684.0,pole,2
5,782.5,471.0,pole,2
6,796.5,481.0,pole,2
7,1006.0,629.0,pole,2
8,953.5,589.0,pole,2
9,977.5,514.0,pole,2
10,482.90814607570456,409.9418755219958,pole,2
11,726.9366285871956,431.70442306455766,pole,2
12,522.1190582753068,384.3205083018711,pole,2
13,491.1408164782096,405.20527063288336,pole,2
14,812.8979750803161,492.0267582739151,pole,2
15,514.5419001565629,388.1971938509959,pole,2
16,718.4868785282308,425.59882549099206,pole,2
17,487.644750964817,407.460796770556,pole,2
18,499.0,390.0,pole,2
