,x,y,category,consensus
0,729.4076889291116,388.4981903233752,pole,3
1,311.0,470.0,pole,2
2,259.5,490.0,pole,2
3,900.0,491.0,pole,2
4,226.0,503.0,pole,2
5,333.5,461.0,pole,2
6,876.0,479.0,pole,2
7,810.0,446.0,pole,2
8,405.5,432.0,pole,2
9,394.0,435.0,pole,2
10,417.5,428.0,pole,2
11,381.5,441.0,pole,2
12,857.0,469.0,pole,2
13,929.5,506.0,pole,2
14,839.5,460.0,pole,2
15,286.0,479.0,pole,2
16,350.0,454.0,pole,2
17,185.0,518.0,pole,2
18,425.5,424.0,pole,2
19,78.0,560.0,pole,2
20,137.0,538.0,pole,2
21,798.0,438.0,pole,2
22,1007.0,547.0,pole,2
23,1136.5,614.0,pole,2
24,1062.5,575.0,pole,2
25,962.5,524.0,pole,2
26,824.0,452.0,pole,2
27,367.5,446.0,pole,2
28,789.3359255925166,433.9719614483311,pole,2
29,780.4983400967842,430.0183047791877,pole,2
30,772.8235947978587,426.2972161494056,pole,2
31,759.1020804755374,418.3899028111188,pole,2
32,765.8465536170173,422.34355948026223,pole,2
33,5.0,590.0,pole,2
34,57.638888888888886,448.6111111111111,pole,2
