,x,y,category,consensus
0,1165.1234567901236,415.21990740740745,pole,3
1,1255.0,719.0,pole,3
2,449.5,418.0,pole,3
3,1134.0,460.0,pole,3
4,565.5,456.0,pole,2
5,525.5,479.0,pole,2
6,41.5,663.0,pole,2
7,289.5,499.0,pole,2
8,874.0,470.0,pole,2
9,546.0,471.0,pole,2
10,1094.5,622.0,pole,2
11,1011.5,563.0,pole,2
12,900.5,488.0,pole,2
13,886.0,479.0,pole,2
14,916.0,499.0,pole,2
15,9.5,719.0,pole,2
16,865.0,462.0,pole,2
17,1150.5,666.0,pole,2
18,553.5,463.0,pole,2
19,473.5,488.0,pole,2
20,393.0,496.0,pole,2
21,838.0,444.0,pole,2
22,1047.5,591.0,pole,2
23,980.5,543.0,pole,2
24,181.5,496.0,pole,2
25,955.0,526.0,pole,2
26,853.0,456.0,pole,2
27,846.0,447.0,pole,2
