,x,y,category
0,724.8149066725456,372.1468332703452,pole
1,766.8480200722265,365.1413143703984,pole
2,641.0019519983198,385.8675318246713,pole
3,442.48130097269257,512.5035943926135,pole
4,477.49244768265305,496.1153980602916,pole
5,505.05441424155816,484.5691688261557,pole
6,371.714089537666,411.19474433825974,pole
7,878.3895502645503,384.12934618291763,pole
8,886.9047619047619,517.8571428571429,pole
9,877.3809523809524,497.0238095238095,pole
10,917.8571428571429,442.26190476190476,pole
11,1166.0714285714287,576.1904761904761,pole
