idx,x,y,width,height
0,0.834375,0.6680555555555555,0.1953125,0.3472222222222222
0,0.33671875,0.6486111111111111,0.1953125,0.3472222222222222
0,0.13828125,0.5791666666666667,0.1953125,0.3472222222222222
0,0.304296875,0.5416666666666666,0.1953125,0.3472222222222222
0,0.796875,0.6,0.1953125,0.3472222222222222
0,0.3140625,0.6569444444444444,0.1953125,0.3472222222222222
0,0.01875,0.5861111111111111,0.1953125,0.3472222222222222
0,0.3734375,0.45694444444444443,0.1953125,0.3472222222222222
0,0.684375,0.5777777777777777,0.1953125,0.3472222222222222
0,0.37109375,0.5916666666666667,0.1953125,0.3472222222222222
