idx,x,y,width,height
0,0.78984375,0.33055555555555555,0.1953125,0.3472222222222222
0,0.8203125,0.2902777777777778,0.1953125,0.3472222222222222
0,0.725,0.5902777777777778,0.1953125,0.3472222222222222
0,0.10625,0.6319444444444444,0.1953125,0.3472222222222222
0,0.23359375,0.6291666666666667,0.1953125,0.3472222222222222
0,0.8734375,0.5847222222222223,0.1953125,0.3472222222222222
0,0.9953125,0.20694444444444443,0.1953125,0.3472222222222222
0,0.605859375,0.29305555555555557,0.1953125,0.3472222222222222
0,0.340625,0.5416666666666666,0.1953125,0.3472222222222222
0,0.95546875,0.6180555555555556,0.1953125,0.3472222222222222
