,x,y,category
0,105.0,444.0,pole
1,309.5,474.0,pole
2,1025.5,438.0,pole
3,25.5,432.0,pole
4,1160.0,502.0,pole
5,1089.0,442.0,pole
6,1107.0,460.0,pole
7,197.0,458.0,pole
8,448.5,492.0,pole
9,1253.0,520.0,pole
10,1125.5,511.0,pole
11,1272.0,513.0,pole
12,840.5,535.0,pole
13,699.5,524.0,pole
14,676.0,485.0,pole
15,1243.0555555555554,452.0833333333333,pole
16,1173.804012345679,447.5308641975309,pole
17,1167.0524691358023,464.891975308642,pole
18,978.4915123456792,456.2114197530864,pole
19,964.988425925926,435.47453703703707,pole
20,957.27237654321,455.2469135802469,pole
21,970.2932098765432,460.5516975308642,pole
22,62.0,418.0,pole
