,x,y,category
0,284.1051168838592,481.1367598308185,pole
1,275.1745041723823,479.1831883001829,pole
2,259.54593192729766,493.6954339563329,pole
3,230.52144061499772,507.64951631801557,pole
4,167.44898834019205,470.252575588706,pole
5,898.2308201058202,440.6415343915344,pole
6,883.3498677248677,473.71031746031747,pole
7,839.1203703703704,522.4867724867725,pole
8,820.51917989418,507.19246031746036,pole
9,804.811507936508,493.13822751322755,pole
10,791.1706349206349,482.8042328042328,pole
11,860.2017195767196,541.9146825396825,pole
12,926.7526455026456,596.0648148148148,pole
13,983.7962962962963,642.7744708994709,pole
